Building Name,ADDRESS
TURNER HALL GREENHOUSES,1102 S. GOODWIN URBANA
NATURAL RESOURCES GARAGE,608 E. PENNSYLVANIA CHAMPAIGN
NATURAL HISTORY SURVEY GREENHOUSE,614 E. PENNSYLVANIA CHAMPAIGN
1201 W. CALIFORNIA,1201  W. CALIFORNIA URBANA
"STUDENT-STAFF APTS-300 S GOODWIN, U",300 S. GOODWIN URBANA
"STUDENT STAFF APTS #2- 1107 GREEN ST., U",1107 W. GREEN URBANA
BURRILL HALL,407 S. GOODWIN URBANA
"1202 W GREEN, URBANA",1202 W. GREEN URBANA
"ILLINOIS SIMULATOR LABORATORY, BECKMAN INSTITUTE",2100 S. GOODWIN URBANA
LINCOLN AVENUE RESIDENCE HALL,1005 S. LINCOLN URBANA
ALLEN RESIDENCE HALL,1005 W. GREGORY URBANA
"608 S MATHEWS, URBANA",608 S. MATHEWS URBANA
DALKEY ARCHIVE PRESS (PSSB),1805 S. WRIGHT STREET CHAMPAIGN
"1205 1/2 W NEVADA, URBANA",1205 1/2 W. NEVADA URBANA
"1205 W NEVADA, URBANA",1205 W. NEVADA URBANA
1205 W. CALIFORNIA,1205  W. CALIFORNIA URBANA
COORDINATED SCIENCE LABORATORY,1308 W. MAIN ST. URBANA
COMMERCE ANNEX,1407  W. LORADO TAFT URBANA
"1208 W SPRINGFIELD, URBANA",1208 W. SPRINGFIELD URBANA
"1204 W NEVADA, URBANA",1204 W. NEVADA URBANA
CIVIL ENGINEERING HYDROSYSTEMS LAB,205 N. MATHEWS URBANA
WAREHOUSE #1 - HYD ENGR LAB #1,100 BLOCK N. GREGORY URBANA
PERSONNEL SERVICES BUILDING,52 E. GREGORY CHAMPAIGN
VOLATILE CHEMICAL STORAGE BLDG,505 S. GOODWIN URBANA
LAW BUILDING,504 E. PENNSYLVANIA AVE. CHAMPAIGN
AFRICAN AMERICAN STUDIES,1201 W. NEVADA URBANA
BEVIER HALL,905 W. GOODWIN URBANA
WOHLERS HALL,1206 S. SIXTH CHAMPAIGN
EDUCATION BUILDING,1310 S. SIXTH ST. CHAMPAIGN
"1401 S MARYLAND, URBANA",1401 S. MARYLAND URBANA
ENGINEERING SENIOR DESIGN LAB,1013 W. WESTERN URBANA
PLANT SERVICES STORAGE BUILDING,1015 W. WESTERN URBANA
STRUCTURAL WAREHOUSE,1017 W. WESTERN URBANA
ANIMAL SCIENCES LABORATORY,1207 W. GREGORY URBANA
