Building No.,Building Name,Address,City,ZIP
671,QUONSET #7,16 AIRPORT ROAD,SAVOY,61874
672,QUONSET #8,8 AIRPORT ROAD,SAVOY,61874
674,FLIGHTSTAR ADMINISTRATION BUILDING,7 AIRPORT ROAD,SAVOY,61874
675,COMMERCIAL AIRPORT TERMINAL BLDG,11 AIRPORT ROAD,SAVOY,61874
676,INST OF AVIATION ADMIN BUILDING,1 AIRPORT ROAD,SAVOY,61874
677,AIRPORT RESCUE AND FIREFIGHTING,3 AIRPORT ROAD,SAVOY,61874
678,10 UNIT T-HANGAR (CENTRAL),WILLARD AIRPORT,SAVOY,61874
679,5 UNIT T-HANGAR (SOUTH),WILLARD AIRPORT,SAVOY,61874
680,2 UNIT T-HANGAR,WILLARD AIRPORT,SAVOY,61874
681,HANGAR #3,5 AIRPORT ROAD,SAVOY,61874
682,HANGAR #5,5 AIRPORT ROAD,SAVOY,61874
683,SAND & SNOW EQUIPMENT STORAGE BUILDING,5 AIRPORT ROAD,SAVOY,61874
684,AIRPORT CARETAKER'S HOUSE,WILLARD AIRPORT,SAVOY,61874
685,HANGAR #7,26 AIRPORT ROAD,SAVOY,61874
686,MACHINE SHOP,11 AIRPORT ROAD,SAVOY,61874
687,AIRPORT SOUTH FUEL FARM,,SAVOY,
688,AIRPORT RADAR UNIT,WILLARD AIRPORT,SAVOY,61874
689,AIRPORT REMOTE TRANSMITTER,WILLARD AIRPORT,SAVOY,61874
690,AIRPORT TRANSMITTER,WILLARD AIRPORT,SAVOY,61874
691,AIRPORT GENERATOR,1 AIRPORT ROAD,SAVOY,61874
692,AIRPORT GLIDE SCOPE,WILLARD AIRPORT,SAVOY,61874
693,AIRPORT MIDDLE MARKER,WILLARD AIRPORT,SAVOY,61874
694,AIRPORT MALSR,WILLARD AIRPORT,SAVOY,61874
695,AIRPORT VOR,WILLARD AIRPORT,SAVOY,61874
696,AIRPORT MAIN VAULT,16 AIRPORT ROAD,SAVOY,61874
697,AIRPORT FIELD VAULT,1 AIRPORT ROAD,SAVOY,61874
698,PARKING BOOTHS,13 AIRPORT ROAD,SAVOY,61874
 700-799,,,,
703,200 BLISS DR.,200   BLISS DR.,URBANA,
704,201 BLISS DR.,201   BLISS DR.,URBANA,
705,202 BLISS DR.,202   BLISS DR.,URBANA,
706,203 BLISS DR.,203   BLISS DR.,URBANA,
707,204 BLISS DR.,204   BLISS DR.,URBANA,
708,205 BLISS DR.,205   BLISS DR.,URBANA,
709,206 BLISS DR.,206   BLISS DR.,URBANA,
710,207 BLISS DR.,207   BLISS DR.,URBANA,
711,208 BLISS DR.,208   BLISS DR.,URBANA,
712,209 BLISS DR.,209   BLISS DR.,URBANA,
713,210 BLISS DR.,210   BLISS DR.,URBANA,
714,211 BLISS DR.,211   BLISS DR.,URBANA,
715,300 BLISS DR.,300   BLISS DR.,URBANA,
716,301 BLISS DR.,301   BLISS DR.,URBANA,
717,302 BLISS DR.,302   BLISS DR.,URBANA,
718,303 BLISS DR.,303   BLISS DR.,URBANA,
719,304 BLISS DR.,304   BLISS DR.,URBANA,
720,305 BLISS DR.,305   BLISS DR.,URBANA,
721,306 BLISS DR.,306   BLISS DR.,URBANA,
722,307 BLISS DR.,307   BLISS DR.,URBANA,
729,1800 CARLE DR.,1800   CARLE DR.,URBANA,
730,"1801 CARLE DRIVE, URBANA",1801 CARLE DRIVE,URBANA,61801
731,1802 CARLE DR.,1802   CARLE DR.,URBANA,
732,1803 CARLE DR.,1803   CARLE DR.,URBANA,
733,1804 CARLE DR.,1804   CARLE DR.,URBANA,
734,"1805 CARLE DRIVE, URBANA",1805 CARLE DRIVE,URBANA,61801
735,1806 CARLE DR.,1806   CARLE DR.,URBANA,
736,"1807 CARLE DRIVE, URBANA",1807 CARLE DRIVE,URBANA,61801
737,"1809 CARLE DRIVE, URBANA",1809 CARLE DRIVE,URBANA,61801
738,"1811 CARLE DRIVE, URBANA",1811 CARLE DRIVE,URBANA,61801
739,ORCHARD PLACE APARTMENTS,1801-02 ORCHARD,URBANA,61801
740,ORCHARD PLACE APARTMENTS,1803-04 ORCHARD,URBANA,61801
741,ORCHARD PLACE APARTMENTS,1805-06 ORCHARD,URBANA,61801
742,ORCHARD PLACE APARTMENTS,1807-08 ORCHARD,URBANA,61801
743,ORCHARD PLACE APARTMENTS,1809-10-11-12 ORCHARD,URBANA,61801
744,ORCHARD PLACE APARTMENTS,1813-14 ORCHARD,URBANA,61801
745,ORCHARD PLACE APARTMENTS,1815-16-17-18 ORCHARD,URBANA,61801
746,ORCHARD PLACE APARTMENTS,1819-20 ORCHARD,URBANA,
747,ORCHARD PLACE APARTMENTS,1821-22-23-24 ORCHARD,URBANA,61801
748,ORCHARD PLACE APARTMENTS,1825-26 ORCHARD,URBANA,61801
749,ORCHARD PLACE APARTMENTS,1827-28 ORCHARD,URBANA,61801
750,ORCHARD PLACE APARTMENTS,1829-30 ORCHARD,URBANA,61801
751,ORCHARD PLACE APARTMENTS,1831-32 ORCHARD,URBANA,61801
752,ORCHARD PLACE APARTMENTS,1833-34 ORCHARD,URBANA,61801
753,ORCHARD PLACE APARTMENTS,1835-36 ORCHARD,URBANA,61801
754,ORCHARD PLACE APARTMENTS,1837-38 ORCHARD,URBANA,61801
755,FAMILY HOUSING OFFICE,1841 ORCHARD,URBANA,61801
756,ORCHARD DOWNS APARTMENTS,1902-04-06 ORCHARD,URBANA,61801
757,ORCHARD DOWNS APARTMENTS,1910-12-14-16 ORCHARD,URBANA,61801
758,ORCHARD DOWNS APARTMENTS,1920-22-24 ORCHARD,URBANA,61801
759,ORCHARD DOWNS APARTMENTS,1930-32-34 ORCHARD,URBANA,61801
760,ORCHARD DOWNS APARTMENTS,1940-42-44 ORCHARD,URBANA,61801
761,ORCHARD DOWNS APARTMENTS,1950-52-54-56 ORCHARD,URBANA,61801
762,ORCHARD DOWNS APARTMENTS,1960-62 ORCHARD,URBANA,61801
763,ORCHARD DOWNS APARTMENTS,1961-63-65 ORCHARD,URBANA,61801
764,ORCHARD DOWNS APARTMENTS,1970-72-76 ORCHARD,URBANA,61801
765,ORCHARD DOWNS APARTMENTS,1971-73-75-77 ORCHARD,URBANA,61801
766,ORCHARD DOWNS APARTMENTS,2001-03-05 ORCHARD,URBANA,61801
767,ORCHARD DOWNS APARTMENTS,2002-04-06 ORCHARD,URBANA,61801
768,ORCHARD DOWNS APARTMENTS,2008-09 HAZELWOOD,URBANA,61801
769,ORCHARD DOWNS APARTMENTS,2010-12-14-16 ORCHARD,URBANA,61801
770,ORCHARD DOWNS APARTMENTS,2011-13-15-17 ORCHARD,URBANA,61801
771,ORCHARD DOWNS APARTMENTS,2020-22-24 ORCHARD,URBANA,61801
772,ORCHARD DOWNS APARTMENTS,2021-23-25 ORCHARD,URBANA,61801
773,ORCHARD DOWNS APARTMENTS,2027-28-29 HAZELWOOD,URBANA,61801
774,ORCHARD DOWNS APARTMENTS,2030-32-34 ORCHARD,URBANA,61801
775,ORCHARD DOWNS APARTMENTS,2031-33-35-37 ORCHARD,URBANA,61801
776,ORCHARD DOWNS APARTMENTS,2038-39 HAZELWOOD,URBANA,61801
777,ORCHARD DOWNS APARTMENTS,2040-42-44 ORCHARD,URBANA,61801
778,ORCHARD DOWNS APARTMENTS,2047-48-49 HAZELWOOD,URBANA,61801
779,ORCHARD DOWNS APARTMENTS,2051-53 ORCHARD,URBANA,61801
780,ORCHARD DOWNS APARTMENTS,2055-57-59 ORCHARD,URBANA,61801
781,ORCHARD DOWNS APARTMENTS,2060-62-64 ORCHARD,URBANA,61801
782,ORCHARD DOWNS APARTMENTS,2061-63-65 ORCHARD,URBANA,61801
783,ORCHARD DOWNS APARTMENTS,2067-68-69 HAZELWOOD,URBANA,61801
784,ORCHARD DOWNS APARTMENTS,2070-72-74 ORCHARD,URBANA,61801
785,ORCHARD DOWNS APARTMENTS,2071-73-75 ORCHARD,URBANA,61801
786,ORCHARD DOWNS APARTMENTS,2077-78-79 HAZELWOOD,URBANA,61801
787,ORCHARD DOWNS APARTMENTS,2080-82-84 ORCHARD,URBANA,61801
788,ORCHARD DOWNS APARTMENTS,2081-83-85-87 ORCHARD,URBANA,61801
789,ORCHARD SOUTH APARTMENTS,2101 HAZELWOOD,URBANA,61801
790,ORCHARD SOUTH APARTMENTS,2102 S. ORCHARD,URBANA,61801
791,ORCHARD SOUTH APARTMENTS,2103 HAZELWOOD,URBANA,61801
792,ORCHARD SOUTH APARTMENTS,2104 S. ORCHARD,URBANA,61801
793,ORCHARD SOUTH APARTMENTS,2105 HAZELWOOD,URBANA,61801
794,ORCHARD SOUTH APARTMENTS,2106 S. ORCHARD,URBANA,61801
795,ORCHARD SOUTH APARTMENTS,2107 HAZELWOOD,URBANA,61801
796,ORCHARD SOUTH APARTMENTS,2108 S. ORCHARD,URBANA,61801
797,ORCHARD SOUTH APARTMENTS,2109 HAZELWOOD,URBANA,61801
798,ORCHARD SOUTH APARTMENTS,2110 S. ORCHARD,URBANA,61801
799,ORCHARD SOUTH APARTMENTS,2111 HAZELWOOD,URBANA,61801
 800-899,,,,
801,AN HUSB HEDDEN HOUSE,7  E. ST. MARY'S RD.,CHAMPAIGN,
802,ANIMAL HUSBANDRY HEDDEN BARN,7 W. ST. MARY'S RD.,CHAMPAIGN,61820
803,PIG NURSERY - NORTH,S. FIRST ST.,CHAMPAIGN,61820
804,ANIMAL HUSBANDRY SWN BRN - HEDDEN,1901 S. FIRST ST.,CHAMPAIGN,61820
805,AN HUSB EXPR SWINE FEED SHED,S. FIRST,CHAMPAIGN,
806,FARROWING BUILDING - SWINE RES CTR,3502 S. FIRST ST.,CHAMPAIGN,61820
807,SOW FEEDING BUILDING - SWINE RES CTR,3502 S. FIRST ST.,CHAMPAIGN,61820
